Name,Start Time,End Time,Duration,Venue,Voter: Callum,Voter: Steven,Total Votes
Chris Grace as Scarlett Johansson,22:55,23:55,1:00,"Studio Three, Assembly George Square Studios, George Square, EH8 9LH",X,X,2
Chris Grace: Sardines (A Comedy About Death),13:40,14:40,1:00,"Studio Five, Assembly George Square Studios, George Square, EH8 9LH",X,X,2
Circa: Humans 2.0,18:20,19:20,1:00,"The Lafayette, Underbelly’s Circus Hub on the Meadows, Middle Meadow Walk, EH9 9EX",,X,1
Colin Cloud: Consequences,19:20,20:30,1:10,"McEwan Hall, Underbelly, Bristo Square, Teviot Place, EH8 9AG",X,,1
Comedy Striptease,00:45,01:35,0:50,"Main Cellar, Laughing Horse @ 32 Below, 32b W Nicolson St, EH8 9DD",X,X,2
Confessions of a Teletubby,10:30,11:35,1:05,"Theatre 1, theSpace @ Surgeons' Hall, Nicolson Street, EH8 9DW",,X,1
Crispr! The Musical,20:40,21:35,0:55,"temple, C ARTS | C venues | C aquila, Roman Eagle Lodge, 2 Johnston Terrace, EH1 2PW",,X,1
Cyclopath – Stand-Up and Songs,14:45,15:40,0:55,"The Lounge, Laughing Horse @ The Counting House, 38 W Nicolson St, EH8 9DD",X,X,2
Dan Rath: Pariah Carey,21:50,22:50,1:00,"Friesian, Underbelly, Bristo Square, Teviot Place, EH8 9AG",,X,1
Dara Ó Briain: My Entire Life is a Work In Progress (Work in Progress),18:50,19:50,1:00,"Music Hall, Assembly Rooms, 54 George Street, EH2 2LR",,X,1
"David O'Doherty: Ready, Steady, David O'Doherty",19:15,20:15,1:00,"Gordon Aikman Theatre, Assembly George Square, George Square, EH8 9LH",X,,1
Dear Billy,16:50,18:10,1:20,"Music Hall, Assembly Rooms, 54 George Street, EH2 2LR",X,,1
Disabled Cants,17:30,18:30,1:00,"Garden Room, Laughing Horse @ Bar 50, 50 Blackfriars St, EH1 1NE",X,X,2
Dizney in Drag: Once Upon a Parody,22:35,23:35,1:00,"Gordon Aikman Theatre, Assembly George Square, George Square, EH8 9LH",X,,1
"Drinks, Drugs and Dares: The Ultimate Pre-Drink Gameshow",22:10,23:00,0:50,"carte blanche!, PBH's Free Fringe @ Voodoo Rooms, West Register Street, EH2 2AA",X,,1
