"Date","Name","Rating","Walk to Show","Price(£)","Start Time","End Time","Duration","Venue"
Sat 10/08,"Late'n'Live",100,"5 mins",15.50,23:30,00:45,1:15,"Doonstairs, Gilded Balloon Patter House, 3 Chambers St, EH1 1HT",
Sun 11/08,"1984",80," ",17.00,11:40,12:40,1:00,"Old Lab, Summerhall, 1 Summerhall, EH9 1PL",
Sun 11/08,"MC Hammersmith: The MC Stands for Middle Class",100,"17 mins",12.00,13:55,14:55,1:00,"Monkey Barrel 1, Monkey Barrel Comedy, 9-12 Blair Street, EH1 1QR",
Sun 11/08,"Ellie MacPherson: Babe Lincoln",75,"7 mins",13.00,16:35,17:35,1:00,"Attic, Pleasance Courtyard, 60 Pleasance, EH8 9TJ",
Sun 11/08,"Thinking Drinkers: The Booze-ical",80,"9 mins",16.50,18:10,19:10,1:00,"Cowbarn, Underbelly, Bristo Square, Teviot Place, EH8 9AG",
Sun 11/08,"Baby Wants Candy",100,"4 mins",17.50,20:00,21:00,1:00,"Studio One, Assembly George Square Studios, George Square, EH8 9LH",
Sun 11/08,"Best of the Fest: The New Class",100,"1 mins",5.00,22:25,23:25,1:00,"Piccolo, Assembly George Square Gardens, George Square, EH8 9LH",
Sun 11/08,"Pineapple Princess",50,"4 mins",8.00,00:15,01:15,1:00,"Wee Yurt, Hoots @ Potterrow, Potterrow Port (Underpass), EH8 9AA",
Mon 12/08,"The AI Ate My Homework!",60," ",12.00,12:20,13:20,1:00,"Stand 5, The Stand Comedy Club 5 & 6, The Place, 34-38 York Place, EH1 3HU",
Mon 12/08,"Best of Edinburgh Fringe Comedy",100,"14 mins",2.50,15:15,16:15,1:00,"Fringe Room, Laughing Horse @ Kick Ass Cowgate, 37-39 Cowgate, EH1 1JR",
Mon 12/08,"Riki Lindhome: Dead Inside",45,"9 mins",14.00,17:00,18:00,1:00,"Beneath, Pleasance Courtyard, 60 Pleasance, EH8 9TJ",
Mon 12/08,"Max Fosh: Loophole (Work in Progress)",50,"9 mins",11.50,18:40,19:40,1:00,"Ermintrude, Underbelly, Bristo Square, Teviot Place, EH8 9AG",
Mon 12/08,"The Big Show: Monkey Barrel Comedy's Fringe Showcase!",100,"7 mins",10.00,20:30,21:50,1:20,"Hive 1, Monkey Barrel Comedy (The Hive), 15-17 Niddry St, EH1 1LG",
Mon 12/08,"Chris Grace as Scarlett Johansson",50,"10 mins",13.00,22:55,23:55,1:00,"Studio Three, Assembly George Square Studios, George Square, EH8 9LH",
Tue 13/08,"Flo & Joan: The Joan & Flo Show",90," ",17.50,14:55,15:55,1:00,"Studio Three, Assembly George Square Studios, George Square, EH8 9LH",
Tue 13/08,"44 Sex Acts In One Week",75,"4 mins",14.00,16:40,17:50,1:10,"King Dome, Pleasance Dome, 1 Bristo Square, EH8 9AL",
Tue 13/08,"One Man Musical by Flo & Joan",50,"0 mins",15.00,19:00,20:00,1:00,"Queen Dome, Pleasance Dome, 1 Bristo Square, EH8 9AL",
Tue 13/08,"Reginald D Hunter: Fluffy Fluffy Beavers",75,"4 mins",17.00,21:30,22:30,1:00,"Studio One, Assembly George Square Studios, George Square, EH8 9LH",
Wed 14/08,"Mark Watson: Work-In-Progress Is Not a Cop-Out, It Demonstrates Respect For The Paying Audience",80," ",10.00,14:50,15:50,1:00,"Stand 2, The Stand Comedy Club 2, 16 North St Andrew Street, EH2 1HJ",
Wed 14/08,"Jonny & the Baptists: The Happiness Index",75,"19 mins",12.00,17:55,18:55,1:00,"Piccolo, Assembly George Square Gardens, George Square, EH8 9LH",
Wed 14/08,"NewsRevue",90,"2 mins",17.50,19:30,20:30,1:00,"Udderbelly, Underbelly, George Square, George Square, EH8 9LH",
Wed 14/08,"Bobby Davro: Everything is Funny... If You Can Laugh at It",75,"7 mins",18.50,21:00,22:00,1:00,"Bier Keller, Frankenstein Pub, 26 George IV Bridge, EH1 1EN",
Wed 14/08,"Siblings and Family Friends",80,"4 mins",15.00,23:30,01:15,1:45,"Queen Dome, Pleasance Dome, 1 Bristo Square, EH8 9AL",
Thu 15/08,"Chris Grace: Sardines (A Comedy About Death)",60," ",12.50,13:40,14:40,1:00,"Studio Five, Assembly George Square Studios, George Square, EH8 9LH",
Thu 15/08,"Lil Wenker: BANGTAIL",75,"11 mins",11.00,16:15,17:15,1:00,"Cellar, Pleasance Courtyard, 60 Pleasance, EH8 9TJ",
Thu 15/08,"Wankernomics: As Per My Last Email",80,"0 mins",14.50,18:00,19:00,1:00,"Pleasance One, Pleasance Courtyard, 60 Pleasance, EH8 9TJ",
Thu 15/08,"Laser Kiwi: Rise of the Olive",80,"2 mins",15.00,20:05,21:05,1:00,"Central, Assembly Roxy, 2 Roxburgh Place, EH8 9SU",
Thu 15/08,"Isabella Charlton: So My Dad F****d The Nanny",60,"3 mins",12.00,21:40,22:40,1:00,"Blether, Gilded Balloon Patter House, 3 Chambers St, EH1 1HT",
Thu 15/08,"The Kaye Hole Hosted by Reuben Kaye",50,"7 mins",18.50,23:45,01:15,1:30,"Palais du Variété, Assembly George Square Gardens, George Square, EH8 9LH",
Fri 16/08,"Hold on to Your Butts",50," ",16.00,14:00,15:00,1:00,"Forth, Pleasance Courtyard, 60 Pleasance, EH8 9TJ",
Fri 16/08,"Barbaren Barbies: A Wild Women Circus",50,"12 mins",15.50,16:00,17:00,1:00,"Udderbelly, Underbelly, George Square, George Square, EH8 9LH",
Fri 16/08,"Isobel Rogers: How to Be Content",25,"12 mins",12.00,17:50,18:50,1:00,"Below, Pleasance Courtyard, 60 Pleasance, EH8 9TJ",
Fri 16/08,"A-Z: The Geek's Guide to Seduction",40,"12 mins",10.00,19:45,20:40,0:55,"Hoot 2, Hoots @ The Apex, 31-35 Grassmarket, EH1 2HS",
Fri 16/08,"Jo Griffin: Last Chance Saloon",75,"11 mins",13.00,21:15,22:15,1:00,"The Box, Assembly George Square, George Square, EH8 9LH",
Fri 16/08,"Late Night With Terry Wogan",75,"2 mins",16.00,23:00,00:00,1:00,"Studio One, Assembly George Square Studios, George Square, EH8 9LH",
Sat 17/08,"419 Dirty Words",60," ",12.00,13:40,14:40,1:00,"Stand 5, The Stand Comedy Club 5 & 6, The Place, 34-38 York Place, EH1 3HU",
Sat 17/08,"Anu Vaidyanathan: BC:AD – Before Children, After Diapers",50,"14 mins",12.50,15:40,16:40,1:00,"The Penny, Gilded Balloon Patter House, 3 Chambers St, EH1 1HT",
Sat 17/08,"Anna Akana: It Gets Darker",60,"5 mins",13.00,17:30,18:30,1:00,"Upstairs, Pleasance Courtyard, 60 Pleasance, EH8 9TJ",
Sat 17/08,"Mark Nelson: Getting Better Man",75,"7 mins",10.00,19:05,20:05,1:00,"Hive 1, Monkey Barrel Comedy (The Hive), 15-17 Niddry St, EH1 1LG",
Sat 17/08,"Jason Byrne: NO SHOW",60,"7 mins",23.00,20:40,21:40,1:00,"Main Hall, Assembly Hall, Mound Place, EH1 2LU",
Sat 17/08,"Dizney in Drag: Once Upon a Parody",,"13 mins",18.00,22:35,23:35,1:00,"Gordon Aikman Theatre, Assembly George Square, George Square, EH8 9LH",
Sun 18/08,"A Jaffa Cake Musical",50," ",16.00,15:10,16:10,1:00,"Pleasance Two, Pleasance Courtyard, 60 Pleasance, EH8 9TJ",
Sun 18/08,"Eddy Hare: This One's On Me",60,"0 mins",14.00,17:30,18:30,1:00,"Cellar, Pleasance Courtyard, 60 Pleasance, EH8 9TJ",
Sun 18/08,"Paddy Young: If I Told You I'd Have to Kiss You",75,"7 mins",12.00,19:50,20:50,1:00,"Monkey Barrel 4, Monkey Barrel Comedy, 9-12 Blair Street, EH1 1QR",
Sun 18/08,"Tim Murray Is Witches",50,"6 mins",13.00,21:20,22:20,1:00,"The Dairy Room, Underbelly, Bristo Square, Teviot Place, EH8 9AG",
Mon 19/08,"100% The Greatest Comedian Alive or Dead (No Refunds)",30," ",0.00,15:05,16:00,0:55,"carte blanche!, PBH's Free Fringe @ Voodoo Rooms, West Register Street, EH2 2AA",
Mon 19/08,"Stand-Up Science",40,"17 mins",0.00,17:15,18:15,1:00,"Main Room, Laughing Horse @ The Pear Tree, 36 W Nicholson St, EH8 9DD",
Mon 19/08,"Ashley Gavin: My Therapist is Dying",60,"7 mins",13.00,18:50,19:50,1:00,"Upstairs, Pleasance Courtyard, 60 Pleasance, EH8 9TJ",
Mon 19/08,"Ali Woods: At The Moment",65,"9 mins",11.00,20:30,21:30,1:00,"Jersey, Underbelly, Bristo Square, Teviot Place, EH8 9AG",
Mon 19/08,"Good Girl",75,"5 mins",13.00,22:20,23:20,1:00,"The Annexe, Paradise in The Vault, 11 Merchant Street, EH1 2QD",
Tue 20/08,"Sue Perkins: A Piece of Work in Progress",100," ",16.50,15:30,16:30,1:00,"Grand, Pleasance Courtyard, 60 Pleasance, EH8 9TJ",
Tue 20/08,"Disabled Cants",25,"5 mins",5.00,17:30,18:30,1:00,"Garden Room, Laughing Horse @ Bar 50, 50 Blackfriars St, EH1 1NE",
Tue 20/08,"Jo Caulfield Pearls Before Swine",70,"14 mins",12.00,19:10,20:10,1:00,"Stand 3, The Stand Comedy Club 3 & 4, 28 York Place, EH1 3EP",
Tue 20/08,"Pirates: You Wouldn't Steal a Boat",60,"17 mins",10.00,21:30,22:20,0:50,"Fleming Theatre, theSpace @ Surgeons' Hall, Nicolson Street, EH8 9DW",
Wed 21/08,"Cyclopath – Stand-Up and Songs",25," ",0.00,14:45,15:40,0:55,"The Lounge, Laughing Horse @ The Counting House, 38 W Nicolson St, EH8 9DD",
Wed 21/08,"Andrew Maxwell: The Bare Maximum",50,"5 mins",12.50,17:40,18:35,0:55,"Just the Tonic's Atomic Room, Just the Tonic Nucleus, 138-140 Pleasance, EH8 9RR",
Wed 21/08,"David O'Doherty: Ready, Steady, David O'Doherty",100,"7 mins",14.00,19:15,20:15,1:00,"Gordon Aikman Theatre, Assembly George Square, George Square, EH8 9LH",
Wed 21/08,"Ivo Graham: Grand Designs",30,"9 mins",15.50,21:20,22:20,1:00,"Grand, Pleasance Courtyard, 60 Pleasance, EH8 9TJ",
Wed 21/08,"Jack Tucker: Comedy Standup Hour",75,"0 mins",15.00,23:00,00:20,1:20,"Grand, Pleasance Courtyard, 60 Pleasance, EH8 9TJ",
Thu 22/08,"Apricity",," ",16.00,15:00,16:00,1:00,"Palais du Variété, Assembly George Square Gardens, George Square, EH8 9LH",
Thu 22/08,"Dear Billy",,"21 mins",22.00,16:50,18:10,1:20,"Music Hall, Assembly Rooms, 54 George Street, EH2 2LR",
Thu 22/08,"Milton Jones: Ha!Milton",60,"7 mins",19.50,19:00,20:00,1:00,"Main Hall, Assembly Hall, Mound Place, EH1 2LU",
Thu 22/08,"Trainspotting Live",100,"17 mins",15.00,20:45,22:05,1:20,"Cromdale Tunnel, Pleasance at EICC, 150 Morrison Street, EH3 8EE",
Fri 23/08,"Gwyneth Goes Skiing",20," ",20.00,15:30,16:50,1:20,"Forth, Pleasance Courtyard, 60 Pleasance, EH8 9TJ",
Fri 23/08,"Showstopper! The Improvised Musical",50,"0 mins",22.50,17:30,18:40,1:10,"Grand, Pleasance Courtyard, 60 Pleasance, EH8 9TJ",
Fri 23/08,"Troy Hawke – The Greeters Guild!",100,"16 mins",24.50,19:30,21:20,1:50,"Auditorium, Edinburgh Playhouse, 18-22 Greenside Pl, EH1 3AA",
Fri 23/08,"Naughty Cabaret",,"18 mins",13.00,22:50,00:00,1:10,"Belly Laugh, Underbelly, Cowgate, 66 Cowgate, EH1 1JX",
Sat 24/08,"Geoff Norcott: Basic Bloke",50," ",15.50,13:25,14:25,1:00,"Ermintrude, Underbelly, Bristo Square, Teviot Place, EH8 9AG",
Sat 24/08,"Adventures of the Improvised Sherlock Holmes",20,"6 mins",11.00,16:30,17:30,1:00,"Just the Big Room, Just the Tonic at The Caves, Rowantree Bar, EH1 1LG",
Sat 24/08,"The Umbilical Brothers: The Distraction",50,"3 mins",19.00,18:35,19:35,1:00,"Central, Assembly Roxy, 2 Roxburgh Place, EH8 9SU",
Sat 24/08,"Viv Ford: New Kids On The Blockchain",60,"4 mins",7.00,20:00,21:00,1:00,"Just the Attic, Just the Tonic at The Mash House, 37 Guthrie St, EH1 1JG",
Sat 24/08,"ITVX Presents: Edinburgh Fringe",40,"4 mins",13.00,22:30,00:00,1:30,"Grand Theatre, theSpace @ Surgeons' Hall, Nicolson Street, EH8 9DW",
Sun 25/08,"AI:rish",20," ",22.00,15:45,16:35,0:50,"The Wee Tap, Laughing Horse @ The Hanover Tap, 112 Hanover Street, EH2 1DR",
Sun 25/08,"Séayoncé: She Must Be Hung!",80,"22 mins",11.50,17:55,18:55,1:00,"Piccolo, Assembly George Square Gardens, George Square, EH8 9LH",
Sun 25/08,"Colin Cloud: Consequences",50,"3 mins",18.50,19:20,20:30,1:10,"McEwan Hall, Underbelly, Bristo Square, Teviot Place, EH8 9AG",
Sun 25/08,"Ask A Stripper: No Holes Barred",20,"9 mins",5.00,21:30,22:25,0:55,"Main Room, Laughing Horse @ Dragonfly, 52 West Port, EH1 2LD",
Mon 26/08,"Mark Thomas: Gaffa Tapes",80," ",10.00,13:15,14:15,1:00,"Stand 1, The Stand Comedy Club, 5 York Place, EH1 3EB",
Mon 26/08,"A Girl Gets Naked In This",,"14 mins",7.00,16:55,17:45,0:50,"Bedlam Theatre, Bedlam Theatre, 11b Bristo Place, EH1 1EZ",
Mon 26/08,"Bad Clowns: HOSTAGE",50,"5 mins",13.00,19:00,20:00,1:00,"Nip, Gilded Balloon Patter House, 3 Chambers St, EH1 1HT",
Mon 26/08,"Aidan Greene: Stop! Stammer Time!",30,"5 mins",10.50,20:45,21:45,1:00,"Dexter, Underbelly, Bristo Square, Teviot Place, EH8 9AG",
