"Date","Name","Rating","Walk to Show","Price(£)","Start Time","End Time","Duration","Venue"
Sun 04/08,"Mags Singing",," ",0.00,16:00,23:59,7:59,"The Mound Precinct",
Mon 05/08,"Mark Watson: Work-In-Progress Is Not a Cop-Out, It Demonstrates Respect For The Paying Audience",80," ",10.00,14:50,15:50,1:00,"Stand 2, The Stand Comedy Club 2, 16 North St Andrew Street, EH2 1HJ",
Mon 05/08,"Jonny & the Baptists: The Happiness Index",75,"19 mins",14.00,17:55,18:55,1:00,"Piccolo, Assembly George Square Gardens, George Square, EH8 9LH",
Mon 05/08,"1 Date: The 18+ Game Show (Free!)",20,"10 mins",0.00,19:30,20:30,1:00,"Warehouse, PBH's Free Fringe @ Liquid Room Annexe/Warehouse, 9c Victoria St, EH1 2HE",
Mon 05/08,"Foil Arms and Hog: Skittish",100,"8 mins",18.00,21:15,22:15,1:00,"McEwan Hall, Underbelly, Bristo Square, Teviot Place, EH8 9AG",
Mon 05/08,"Accidental Baby",75,"5 mins",5.00,23:35,00:30,0:55,"The Vault, Paradise in The Vault, 11 Merchant Street, EH1 2QD",
Tue 06/08,"Rob Auton: The Eyes Open and Shut Show",50," ",16.00,14:15,15:15,1:00,"Upstairs, Assembly Roxy, 2 Roxburgh Place, EH8 9SU",
Tue 06/08,"Barbaren Barbies: A Wild Women Circus",50,"10 mins",15.50,16:00,17:00,1:00,"Udderbelly, Underbelly, George Square, George Square, EH8 9LH",
Tue 06/08,"Max Fosh: Loophole (Work in Progress)",100,"4 mins",11.50,18:40,19:40,1:00,"Ermintrude, Underbelly, Bristo Square, Teviot Place, EH8 9AG",
Tue 06/08,"Sh!t-faced Shakespeare®: Much Ado About Nothing",100,"17 mins",19.50,21:00,22:10,1:10,"Pentland, Pleasance at EICC, 150 Morrison Street, EH3 8EE",
Tue 06/08,"Pod Save the UK – Live!",100,"22 mins",12.00,23:20,00:50,1:30,"Monkey Barrel 3, Monkey Barrel Comedy, 9-12 Blair Street, EH1 1QR",
Wed 07/08,"Anesti Danelis: Artificially Intelligent",25," ",11.00,14:15,15:15,1:00,"Buttercup, Underbelly, Bristo Square, Teviot Place, EH8 9AG",
Wed 07/08,"Anu Vaidyanathan: BC:AD – Before Children, After Diapers",50,"5 mins",12.00,15:40,16:40,1:00,"The Penny, Gilded Balloon Patter House, 3 Chambers St, EH1 1HT",
Wed 07/08,"Single as F@ck!",,"4 mins",7.00,17:30,18:30,1:00,"Boteco do Brasil (Seated), Boteco do Brasil, 47 Lothian St, EH1 1HB",
Wed 07/08,"Adam Bloom: Bloom Mic Moments",75,"5 mins",13.00,19:45,20:45,1:00,"Just the Cask Room, Just the Tonic at The Mash House, 37 Guthrie St, EH1 1JG",
Wed 07/08,"Jo Griffin: Last Chance Saloon",75,"6 mins",12.00,21:15,22:15,1:00,"The Box, Assembly George Square, George Square, EH8 9LH",
Wed 07/08,"Siblings and Family Friends",80,"3 mins",15.00,23:30,01:15,1:45,"Queen Dome, Pleasance Dome, 1 Bristo Square, EH8 9AL",
Thu 08/08,"A Jaffa Cake Musical",50," ",14.00,15:10,16:10,1:00,"Pleasance Two, Pleasance Courtyard, 60 Pleasance, EH8 9TJ",
Thu 08/08,"Anna Akana: It Gets Darker",60,"0 mins",11.00,17:30,18:30,1:00,"Upstairs, Pleasance Courtyard, 60 Pleasance, EH8 9TJ",
Thu 08/08,"NewsRevue",90,"12 mins",17.50,19:30,20:30,1:00,"Udderbelly, Underbelly, George Square, George Square, EH8 9LH",
Thu 08/08,"The Late Nite PowerPoint Comedy Showcase",75,"1 mins",12.00,22:05,23:05,1:00,"Studio Five, Assembly George Square Studios, George Square, EH8 9LH",
Thu 08/08,"Pineapple Princess",50,"5 mins",8.00,00:15,01:15,1:00,"Wee Yurt, Hoots @ Potterrow, Potterrow Port (Underpass), EH8 9AA",
Fri 09/08,"Paul Merton and Suki Webster's Improv Show",100," ",20.00,15:30,16:30,1:00,"Grand, Pleasance Courtyard, 60 Pleasance, EH8 9TJ",
Fri 09/08,"Antics Joke Show: Sketch and Improv Comedy",50,"7 mins",11.00,18:35,19:25,0:50,"Space 1, theSpace on the Mile, 80 High Street, EH1 1TH",
Fri 09/08,"Laser Kiwi: Rise of the Olive",80,"6 mins",16.00,20:05,21:05,1:00,"Central, Assembly Roxy, 2 Roxburgh Place, EH8 9SU",
Fri 09/08,"Isabella Charlton: So My Dad F****d The Nanny",60,"3 mins",13.00,21:40,22:40,1:00,"Blether, Gilded Balloon Patter House, 3 Chambers St, EH1 1HT",
Fri 09/08,"The Kaye Hole Hosted by Reuben Kaye",50,"7 mins",18.50,23:45,01:15,1:30,"Palais du Variété, Assembly George Square Gardens, George Square, EH8 9LH",
Sat 10/08,"Cyclopath – Stand-Up and Songs",25," ",0.00,14:45,15:40,0:55,"The Lounge, Laughing Horse @ The Counting House, 38 W Nicolson St, EH8 9DD",
Sat 10/08,"Alexis Gay: Unprofessional",40,"6 mins",11.00,16:20,17:20,1:00,"The Wee Coo, Underbelly, George Square, George Square, EH8 9LH",
Sat 10/08,"Mark Thomas: Gaffa Tapes",80,"20 mins",12.00,18:30,19:30,1:00,"Stand 1, The Stand Comedy Club, 5 York Place, EH1 3EB",
Sat 10/08,"John Robertson: The Human Hurricane",80,"21 mins",0.00,20:20,21:10,0:50,"The Ballroom, Laughing Horse @ The Counting House, 38 W Nicolson St, EH8 9DD",
Sat 10/08,"Chris Grace as Scarlett Johansson",50,"4 mins",13.00,22:55,23:55,1:00,"Studio Three, Assembly George Square Studios, George Square, EH8 9LH",
Sat 10/08,"Wild West Rodeo",,"9 mins",5.00,01:00,02:00,1:00,"Just the Spare Room, Just the Tonic at The Caves, Rowantree Bar, EH1 1LG",
Sun 11/08,"100% The Greatest Comedian Alive or Dead (No Refunds)",30," ",0.00,15:05,16:00,0:55,"carte blanche!, PBH's Free Fringe @ Voodoo Rooms, West Register Street, EH2 2AA",
Sun 11/08,"Andrew Maxwell: The Bare Maximum",50,"19 mins",15.00,17:40,18:35,0:55,"Just the Tonic's Atomic Room, Just the Tonic Nucleus, 138-140 Pleasance, EH8 9RR",
Sun 11/08,"David O'Doherty: Ready, Steady, David O'Doherty",100,"7 mins",13.00,19:15,20:15,1:00,"Gordon Aikman Theatre, Assembly George Square, George Square, EH8 9LH",
Sun 11/08,"Bobby Davro: Everything is Funny... If You Can Laugh at It",75,"7 mins",18.50,21:00,22:00,1:00,"Bier Keller, Frankenstein Pub, 26 George IV Bridge, EH1 1EN",
Mon 12/08,"The AI Ate My Homework!",60," ",12.00,12:20,13:20,1:00,"Stand 5, The Stand Comedy Club 5 & 6, The Place, 34-38 York Place, EH1 3HU",
Mon 12/08,"Flo & Joan: The Joan & Flo Show",90,"20 mins",17.50,14:55,15:55,1:00,"Studio Three, Assembly George Square Studios, George Square, EH8 9LH",
Mon 12/08,"Riki Lindhome: Dead Inside",45,"11 mins",14.00,17:00,18:00,1:00,"Beneath, Pleasance Courtyard, 60 Pleasance, EH8 9TJ",
Mon 12/08,"Dara Ó Briain: My Entire Life is a Work In Progress (Work in Progress)",100,"21 mins",19.00,18:50,19:50,1:00,"Music Hall, Assembly Rooms, 54 George Street, EH2 2LR",
Mon 12/08,"Crispr! The Musical",,"10 mins",11.00,20:40,21:35,0:55,"temple, C ARTS | C venues | C aquila, Roman Eagle Lodge, 2 Johnston Terrace, EH1 2PW",
Mon 12/08,"Good Girl",75,"4 mins",13.00,22:20,23:20,1:00,"The Annexe, Paradise in The Vault, 11 Merchant Street, EH1 2QD",
Tue 13/08,"Gwyneth Goes Skiing",20," ",17.00,15:30,16:50,1:20,"Forth, Pleasance Courtyard, 60 Pleasance, EH8 9TJ",
Tue 13/08,"Séayoncé: She Must Be Hung!",80,"10 mins",13.50,17:55,18:55,1:00,"Piccolo, Assembly George Square Gardens, George Square, EH8 9LH",
Tue 13/08,"Paddy Young: If I Told You I'd Have to Kiss You",75,"8 mins",11.00,19:50,20:50,1:00,"Monkey Barrel 4, Monkey Barrel Comedy, 9-12 Blair Street, EH1 1QR",
Tue 13/08,"Reginald D Hunter: Fluffy Fluffy Beavers",75,"9 mins",17.00,21:30,22:30,1:00,"Studio One, Assembly George Square Studios, George Square, EH8 9LH",
Wed 14/08,"AI:rish",20," ",5.00,15:45,16:35,0:50,"The Wee Tap, Laughing Horse @ The Hanover Tap, 112 Hanover Street, EH2 1DR",
Wed 14/08,"Wankernomics: As Per My Last Email",80,"22 mins",14.50,18:00,19:00,1:00,"Pleasance One, Pleasance Courtyard, 60 Pleasance, EH8 9TJ",
Wed 14/08,"Artificial Intelligence Improvisation",60,"5 mins",13.00,19:40,20:40,1:00,"Dram, Gilded Balloon Patter House, 3 Chambers St, EH1 1HT",
Wed 14/08,"Tim Murray Is Witches",50,"5 mins",12.00,21:20,22:20,1:00,"The Dairy Room, Underbelly, Bristo Square, Teviot Place, EH8 9AG",
Thu 15/08,"Apricity",," ",16.00,15:00,16:00,1:00,"Palais du Variété, Assembly George Square Gardens, George Square, EH8 9LH",
Thu 15/08,"Stand-Up Science",40,"3 mins",0.00,17:15,18:15,1:00,"Main Room, Laughing Horse @ The Pear Tree, 36 W Nicholson St, EH8 9DD",
Thu 15/08,"Jo Caulfield Pearls Before Swine",70,"20 mins",12.00,19:10,20:10,1:00,"Stand 3, The Stand Comedy Club 3 & 4, 28 York Place, EH1 3EP",
Thu 15/08,"Ask A Stripper: No Holes Barred",20,"21 mins",5.00,21:30,22:25,0:55,"Main Room, Laughing Horse @ Dragonfly, 52 West Port, EH1 2LD",
Fri 16/08,"Olaf Falafel Asks: Has Anyone Ever Actually Woven a Sigourney?",," ",0.00,15:45,16:45,1:00,"Main Room, Laughing Horse @ The Pear Tree, 36 W Nicholson St, EH8 9DD",
Fri 16/08,"Disabled Cants",25,"7 mins",5.00,17:30,18:30,1:00,"Garden Room, Laughing Horse @ Bar 50, 50 Blackfriars St, EH1 1NE",
