"Date","Name","Rating","Walk to Show","Price(£)","Start Time","End Time","Duration","Venue"
Tue 06/08,"One Man Musical by Flo & Joan",50,"7 mins",16.00,19:00,20:00,1:00,"Queen Dome, Pleasance Dome, 1 Bristo Square, EH8 9AL",
Tue 06/08,"Ask A Stripper: No Holes Barred",,"9 mins",5.00,21:30,22:25,0:55,"Main Room, Laughing Horse @ Dragonfly, 52 West Port, EH1 2LD",
Tue 06/08,"Pod Save the UK – Live!",,"13 mins",12.00,23:20,00:50,1:30,"Monkey Barrel 3, Monkey Barrel Comedy, 9-12 Blair Street, EH1 1QR",
Wed 07/08,"Chris Grace: Sardines (A Comedy About Death)",50," ",12.50,13:40,14:40,1:00,"Studio Five, Assembly George Square Studios, George Square, EH8 9LH",
Wed 07/08,"Barbaren Barbies: A Wild Women Circus",50,"1 mins",14.50,16:00,17:00,1:00,"Udderbelly, Underbelly, George Square, George Square, EH8 9LH",
Wed 07/08,"Andrew Maxwell: The Bare Maximum",50,"10 mins",12.50,17:40,18:35,0:55,"Just the Tonic's Atomic Room, Just the Tonic Nucleus, 138-140 Pleasance, EH8 9RR",
Wed 07/08,"1 Date: The 18+ Game Show (Free!)",,"14 mins",0.00,19:30,20:30,1:00,"Warehouse, PBH's Free Fringe @ Liquid Room Annexe/Warehouse, 9c Victoria St, EH1 2HE",
Wed 07/08,"John Robertson's The Dark Room",10,"6 mins",12.00,22:00,23:00,1:00,"Doonstairs, Gilded Balloon Patter House, 3 Chambers St, EH1 1HT",
Wed 07/08,"Siblings and Family Friends",80,"4 mins",15.00,23:30,01:15,1:45,"Queen Dome, Pleasance Dome, 1 Bristo Square, EH8 9AL",
Thu 08/08,"Identity Theft: What to Expect When You're Not Suspecting",," ",0.00,13:45,14:45,1:00,"Arch Room, PBH's Free Fringe @ Whistlebinkies, 4-6 South Bridge, EH1 1LL",
Thu 08/08,"Gwyneth Goes Skiing",50,"7 mins",17.00,15:30,16:50,1:20,"Forth, Pleasance Courtyard, 60 Pleasance, EH8 9TJ",
Thu 08/08,"Isobel Rogers: How to Be Content",25,"0 mins",11.00,17:50,18:50,1:00,"Below, Pleasance Courtyard, 60 Pleasance, EH8 9TJ",
Thu 08/08,"Artificial Intelligence Improvisation",,"5 mins",13.00,19:40,20:40,1:00,"Dram, Gilded Balloon Patter House, 3 Chambers St, EH1 1HT",
Thu 08/08,"Ivo Graham: Grand Designs",,"5 mins",15.50,21:20,22:20,1:00,"Grand, Pleasance Courtyard, 60 Pleasance, EH8 9TJ",
Thu 08/08,"Chris Grace as Scarlett Johansson",50,"11 mins",13.00,22:55,23:55,1:00,"Studio Three, Assembly George Square Studios, George Square, EH8 9LH",
Thu 08/08,"1 Date: The 18+ Game Show (Free!)",,"9 mins",0.00,00:30,01:30,1:00,"Downstairs Room, PBH's Free Fringe @ Burrito ‘n’ Shake, 97 South Bridge, EH1 1HN",
Fri 09/08,"Mark Watson: Work-In-Progress Is Not a Cop-Out, It Demonstrates Respect For The Paying Audience",," ",10.00,14:50,15:50,1:00,"Stand 2, The Stand Comedy Club 2, 16 North St Andrew Street, EH2 1HJ",
Fri 09/08,"Showstopper! The Improvised Musical",,"19 mins",22.50,17:30,18:40,1:10,"Grand, Pleasance Courtyard, 60 Pleasance, EH8 9TJ",
Fri 09/08,"The Electric 80s Show",,"10 mins",30.00,19:30,22:00,2:30,"The Liquid Room, The Liquid Room, 9c Victoria Street, EH1 2HE",
Fri 09/08,"Naughty Cabaret",50,"2 mins",13.00,22:50,00:00,1:10,"Belly Laugh, Underbelly, Cowgate, 66 Cowgate, EH1 1JX",
Fri 09/08,"Late'n'Live",,"4 mins",15.50,01:00,02:15,1:15,"Doonstairs, Gilded Balloon Patter House, 3 Chambers St, EH1 1HT",
